id,product_hash,category_id,name,slug,description,price,available_item_count,metadata_json
d330bfe8-ff53-c445-04e7-1b329f815522,bb5da7a25cb467710dd30b5c2e8624f0ace89aab5a98ee5b81f0fececc1d0ff6,8be64ffc-e355-ea35-c963-4af623a25135,Ua Slipspeed Unisex Training Shoes,underarmour-ua-slipspeed-unisex-training-shoes,"The most versatile training shoe we've ever made. The SlipSpeed™ convertible heel lets you go from a performance training shoe to a slide. Heel up to train, heel down for recovery. Engineered with cool-to-the-touch Iso-Chill technology inside, a breathable upper, and a BOA Fit System for a fast, personalized fit. They feel great, cushion better, fit perfectly, and handle your toughest workouts.",102.97,105,"{""brand"": ""Under Armour"", ""subHeader"": ""Unisex Training Shoes""}"
ced13f0d-3ec6-cd8f-8cab-33217ee1556d,1c67b80b492981a860f48f815e6b0069b5343084017048fbdf0477bd61fd0b66,8be64ffc-e355-ea35-c963-4af623a25135,Ua Arc 96 Unisex Shoes,underarmour-ua-arc-96-unisex-shoes,Inspired by the style of our founding year 1996—we packed this shoe with throwback vibes. Then we pulled UA HOVR™ cushioning from our high-tech running shoes for the impossible feeling of soft with a springy step.,118.97,48,"{""brand"": ""Under Armour"", ""subHeader"": ""Unisex Shoes""}"
fba05bca-e3e9-7b60-acfc-fa2d407e78f4,eeac2b146a1879b205999a86e8863401e41ca951fc0e58a919317fd0f0ebade3,8be64ffc-e355-ea35-c963-4af623a25135,Ua Drive Pro Clone Mens Golf Shoes,underarmour-ua-drive-pro-clone-mens-golf-shoes,"The new UA Drive Pro golf shoes are biomechanically engineered, and lab tested, to provide the traction, and diagonal and lateral support your feet need to unlock the power of your natural swing.",190.0,151,"{""brand"": ""Under Armour"", ""subHeader"": ""Men's Golf Shoes""}"
86c6abb9-e622-dc14-7c69-2e7f91bb5bdb,cc164a7ace2cc871f3705ae553a2ead6ba75fed634f264694d0f509c9f1b62e3,8be64ffc-e355-ea35-c963-4af623a25135,Ua Apparition Unisex Shoes,underarmour-ua-apparition-unisex-shoes,"Originally launched in 2009, we brought back one of UA's first sneakers. These throwbacks are packed with authentic running shoe details but updated with fresh colors, leather upper detailing and soft UA HOVR™ cushioning.",104.97,204,"{""brand"": ""Under Armour"", ""subHeader"": ""Unisex Shoes""}"
11f63e27-f9e5-2253-d7b3-06bda4ebcc1e,3821a1cbd7a68fc107208a1ace2b2857921ac5045fe5795cf7963e3ea5f14154,8be64ffc-e355-ea35-c963-4af623a25135,Ua Echo Slipspeed Unisex Shoes,underarmour-ua-echo-slipspeed-unisex-shoes,We pulled the best from our performance arsenal and reworked it for everyday flex. UA HOVR™ cushioning for a smooth ride. Asymmetrical laces from our soccer cleats for less pressure up top. And a sports tape-inspired upper that moves with you.,134.97,56,"{""brand"": ""Under Armour"", ""subHeader"": ""Unisex Shoes""}"
a1365395-5bfa-aad7-3a1d-68d42775da03,29b2ba6b14ef2b3df09491903084f893355384f4379f2818419b4dab5b2841f4,8be64ffc-e355-ea35-c963-4af623a25135,Ua Charged Commit Tr 5 Mens Training Shoes,underarmour-ua-charged-commit-tr-5-mens-training-shoes,"These are serious training shoes. There's leather on the top of your foot to keep you stable, flex grooves on the bottom so you can move, and Charged Cushioning® for max impact absorption. All you need to do is work.",80.0,34,"{""brand"": ""Under Armour"", ""subHeader"": ""Men's Training Shoes""}"
f95b02df-5de8-120e-cb7c-cc4b639a4d98,c06ce5477e3f57520a73cb79f5fd7ff2a8f1f6e3573383a1be2afc2925c996e3,8be64ffc-e355-ea35-c963-4af623a25135,Ua Charged Chase Mens Running Shoes,underarmour-ua-charged-chase-mens-running-shoes,"These are running shoes anyone can wear to go faster—with Charged+ cushioning to help protect against impact, a breathable upper, and durability for miles.",80.0,235,"{""brand"": ""Under Armour"", ""subHeader"": ""Men's Running Shoes""}"
b8d83efb-2596-3d57-19f6-f058374a0576,f49581821c3fa0d44439f04389b6a8ae00d59e7aa03922551415c5564565ecfc,8be64ffc-e355-ea35-c963-4af623a25135,Ua Halo Trainer Unisex Training Shoes,underarmour-ua-halo-trainer-unisex-training-shoes,Adaptive HOVR foam softens the drop-in and powers the lift. A low-set base keeps you grounded through every set. The seamless SpeedForm upper fits like a second skin—flexing with you for frictionless support.,124.97,68,"{""brand"": ""Under Armour"", ""subHeader"": ""Unisex Training Shoes""}"
8bbe22ee-0999-c1d5-4078-18f932df8f57,6e24a696462b427c5b2b98682aa419f5e67a3a412bdfd921119b1b8aa366d66a,8be64ffc-e355-ea35-c963-4af623a25135,Ua Nova Slipspeed Unisex Shoes,underarmour-ua-nova-slipspeed-unisex-shoes,Bungee lacing meets energy-returning UA HOVR™ foam meets a versatile sneaker-to-slide heel for a shoe that's as bold as it is comfortable,102.97,249,"{""brand"": ""Under Armour"", ""subHeader"": ""Unisex Shoes""}"
533432d2-8009-7d46-3829-2a665a7139f8,1cd9684f6173b85dd524a616c7edcb406927200b236f8f85e3f51ece2d8c125a,8be64ffc-e355-ea35-c963-4af623a25135,Ua Charged Expanse Mid Leather Waterproof Mens Hiking Boots,underarmour-ua-charged-expanse-mid-leather-waterproof-mens-hiking-boots,"The mid-cut hiking boot built to handle any terrain. Waterproof leather upper, Charged Cushioning® midsole, and deep lug traction keep you comfortable and confident on every trail.",170.0,346,"{""brand"": ""Under Armour"", ""subHeader"": ""Men's Hiking Boots""}"
17a1c8d9-2f8c-29d5-e7da-af0cf00409a4,d6c9d843f86aedcc3cc0f95d369c922f1d834fa3d17d5790bbfbb9267676f20d,8be64ffc-e355-ea35-c963-4af623a25135,Ua Charged Assert 11 Camo Mens Running Shoes,underarmour-ua-charged-assert-11-camo-mens-running-shoes,"Built to help you run faster, but this sneaker does it all. Our Charged+ Cushioning® propels you forward when you run and provides insane comfort for doing literally everything else. Plus a breathable upper, new leather overlays, and durability for miles. It’s the 11th release in our best-selling Assert line, so you know the details are dialed.",78.0,383,"{""brand"": ""Under Armour"", ""subHeader"": ""Men's Running Shoes""}"
eb5100ac-8468-6a47-4170-362e0c91560c,1edffa4fc0831c423a3cbb2dca4a443490ba7e37a8b8b7013d3beafe098f785c,8be64ffc-e355-ea35-c963-4af623a25135,Ua Charged Assert 10 Mens Running Shoes,underarmour-ua-charged-assert-10-mens-running-shoes,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles.",69.97,173,"{""brand"": ""Under Armour"", ""subHeader"": ""Men's Running Shoes""}"
